aperture.dat
-7 0 0 0.03
-8 0 0 0.03
-9 0 0 0.03
-10 0 0 0.03
-11 0 0 0.03
-12 0 0 0.03
-13 0 0 0.03
-14 0 0 0.03
-15 0 0 0.03
-16 0 0 0.03
-17 0 0 0.03
-18 0 0 0.03
-19 0 0 0.03
-20 0 0 0.03
-21 0 0 0.03
-22 0 0 0.03
-23 0 0 0.03
-24 0 0 0.03
-25 0 0 0.03
-26 0 0 0.03
-27 0 0 0.03
-28 0 0 0.03
-29 0 0 0.03
-30 0 0 0.03
-31 0 0 0.03
-32 0 0 0.03
-33 0 0 0.03
-34 0 0 0.03
-35 0 0 0.03
-36 0 0 0.03
-37 0 0 0.03
-38 0 0 0.03
-39 0 0 0.03
-40 0 0 0.03
-41 0 0 0.03
-42 0 0 0.03
-43 0 0 0.03
-44 0 0 0.03
-45 0 0 0.03
-46 0 0 0.03
-47 0 0 0.03
-48 0 0 0.03
-49 0 0 0.03
-50 0 0 0.03
-51 0 0 0.03
-52 0 0 0.03
-53 0 0 0.03
-54 0 0 0.03
-55 0 0 0.03
-56 0 0 0.03
-57 0 0 0.03
-58 0 0 0.03
-59 0 0 0.03
-60 0 0 0.03
